REPO_NAME,GITHUB_URL,PERIOD_START,PERIOD_END,CONTRIBUTORS,CUMULATIVE_CONTRIBUTORS
GHSA-7p7h-4mm5-852v,trim-newlines,https://github.com/sindresorhus/trim-newlines,2017-01-01 00:00:00,2017-06-30 00:00:00,1,1
GHSA-7p7h-4mm5-852v,trim-newlines,https://github.com/sindresorhus/trim-newlines,2017-07-01 00:00:00,2017-12-31 00:00:00,0,1
GHSA-7p7h-4mm5-852v,trim-newlines,https://github.com/sindresorhus/trim-newlines,2018-01-01 00:00:00,2018-06-30 00:00:00,0,1
GHSA-7p7h-4mm5-852v,trim-newlines,https://github.com/sindresorhus/trim-newlines,2018-07-01 00:00:00,2018-12-31 00:00:00,0,1
GHSA-7p7h-4mm5-852v,trim-newlines,https://github.com/sindresorhus/trim-newlines,2019-01-01 00:00:00,2019-06-30 00:00:00,3,3
GHSA-7p7h-4mm5-852v,trim-newlines,https://github.com/sindresorhus/trim-newlines,2019-07-01 00:00:00,2019-12-31 00:00:00,0,3
GHSA-7p7h-4mm5-852v,trim-newlines,https://github.com/sindresorhus/trim-newlines,2020-01-01 00:00:00,2020-06-30 00:00:00,0,3
GHSA-7p7h-4mm5-852v,trim-newlines,https://github.com/sindresorhus/trim-newlines,2020-07-01 00:00:00,2020-12-31 00:00:00,1,4
GHSA-7p7h-4mm5-852v,trim-newlines,https://github.com/sindresorhus/trim-newlines,2021-01-01 00:00:00,2021-06-30 00:00:00,1,4
GHSA-7p7h-4mm5-852v,trim-newlines,https://github.com/sindresorhus/trim-newlines,2021-07-01 00:00:00,2021-12-31 00:00:00,0,4
GHSA-7p7h-4mm5-852v,trim-newlines,https://github.com/sindresorhus/trim-newlines,2022-01-01 00:00:00,2022-06-30 00:00:00,0,4
GHSA-7p7h-4mm5-852v,trim-newlines,https://github.com/sindresorhus/trim-newlines,2022-07-01 00:00:00,2022-12-31 00:00:00,0,4
GHSA-7p7h-4mm5-852v,trim-newlines,https://github.com/sindresorhus/trim-newlines,2023-01-01 00:00:00,2023-06-30 00:00:00,2,5
GHSA-7p7h-4mm5-852v,trim-newlines,https://github.com/sindresorhus/trim-newlines,2023-07-01 00:00:00,2023-12-31 00:00:00,0,5
GHSA-7p7h-4mm5-852v,trim-newlines,https://github.com/sindresorhus/trim-newlines,2024-01-01 00:00:00,2024-06-30 00:00:00,0,5
GHSA-7p7h-4mm5-852v,trim-newlines,https://github.com/sindresorhus/trim-newlines,2024-07-01 00:00:00,2024-12-31 00:00:00,0,5
GHSA-5gjg-jgh4-gppm,web,https://github.com/ecnepsnai/web,2017-01-01 00:00:00,2017-06-30 00:00:00,0,0
GHSA-5gjg-jgh4-gppm,web,https://github.com/ecnepsnai/web,2017-07-01 00:00:00,2017-12-31 00:00:00,0,0
GHSA-5gjg-jgh4-gppm,web,https://github.com/ecnepsnai/web,2018-01-01 00:00:00,2018-06-30 00:00:00,0,0
GHSA-5gjg-jgh4-gppm,web,https://github.com/ecnepsnai/web,2018-07-01 00:00:00,2018-12-31 00:00:00,1,1
GHSA-5gjg-jgh4-gppm,web,https://github.com/ecnepsnai/web,2019-01-01 00:00:00,2019-06-30 00:00:00,1,1
GHSA-5gjg-jgh4-gppm,web,https://github.com/ecnepsnai/web,2019-07-01 00:00:00,2019-12-31 00:00:00,1,1
GHSA-5gjg-jgh4-gppm,web,https://github.com/ecnepsnai/web,2020-01-01 00:00:00,2020-06-30 00:00:00,2,2
GHSA-5gjg-jgh4-gppm,web,https://github.com/ecnepsnai/web,2020-07-01 00:00:00,2020-12-31 00:00:00,1,2
GHSA-5gjg-jgh4-gppm,web,https://github.com/ecnepsnai/web,2021-01-01 00:00:00,2021-06-30 00:00:00,1,2
GHSA-5gjg-jgh4-gppm,web,https://github.com/ecnepsnai/web,2021-07-01 00:00:00,2021-12-31 00:00:00,1,2
GHSA-5gjg-jgh4-gppm,web,https://github.com/ecnepsnai/web,2022-01-01 00:00:00,2022-06-30 00:00:00,1,2
