ID,Package,CWE,Date,Platform,GitHub URL,Stars,Contributors,Dependencies,Dependents
GHSA-7p7h-4mm5-852v,trim-newlines,CWE-400,7 Jun 2021,NPM,https://github.com/sindresorhus/trim-newlines,48.0,5.0,5.0,5669776.0
GHSA-5gjg-jgh4-gppm,github.com/ecnepsnai/web,CWE-304,23 Jun 2021,Go,https://github.com/ecnepsnai/web,1.0,0.0,5.0,6.0
GHSA-5mv9-q7fq-9394,github.com/sylabs/singularity,CWE-20,1 Jun 2021,Go,https://github.com/sylabs/singularity,761.0,147.0,215.0,24.0
GHSA-656c-6cxf-hvcv,Flask-Caching,CWE-269,18 Jun 2021,PyPI,https://github.com/sh4nks/flask-caching,893.0,66.0,116.0,22520.0
GHSA-4hq8-gmxx-h6w9,github.com/crewjam/saml,CWE-115,23 Jun 2021,Go,https://github.com/crewjam/saml,962.0,93.0,23.0,1075.0
GHSA-2h3j-m7gr-25xj,org.apache.pdfbox:pdfbox,CWE-834,16 Jun 2021,Maven,https://github.com/apache/pdfbox,2600.0,6.0,89.0,0.0
GHSA-x3v4-pxvm-63j8,reel,CWE-444,24 May 2021,RubyGems,https://github.com/celluloid/reel,595.0,31.0,16.0,545.0
GHSA-wmwp-pggc-h4mj,github.com/documize/community,CWE-79,18 May 2021,Go,https://github.com/documize/community,2200.0,25.0,4058.0,0.0
GHSA-rwxp-hwwf-653v,express-hbs,CWE-200,17 May 2021,NPM,https://github.com/TryGhost/express-hbs,458.0,36.0,404.0,14379.0
GHSA-v3q9-2p3m-7g43,github.com/ory/fosite,CWE-287,24 May 2021,Go,https://github.com/ory/fosite,2300.0,99.0,202.0,0.0
GHSA-rmh2-65xw-9m6q,github.com/buger/jsonparser,CWE-835,18 May 2021,Go,https://github.com/buger/jsonparser,5400.0,49.0,25.0,9398.0
GHSA-q27f-v3r6-9v77,em-http-request,CWE-295,24 May 2021,RubyGems,https://github.com/igrigorik/em-http-request,1200.0,77.0,20.0,9899.0
GHSA-m6wg-2mwg-4rfq,github.com/proglottis/gpgme,CWE-416,18 May 2021,Go,https://github.com/proglottis/gpgme,14.0,7.0,3.0,412.0
GHSA-hgwp-4vp4-qmm2,github.com/cloudflare/cloudflared,CWE-427,24 May 2021,Go,https://github.com/cloudflare/cloudflared,9000.0,91.0,100.0,0.0
GHSA-h3p9-wrgx-82cm,github.com/hashicorp/terraform,CWE-20,18 May 2021,Go,https://github.com/hashicorp/terraform,42500.0,1829.0,1646.0,0.0
GHSA-grpf-gg7v-5g5h,org.apache.skywalking:oap-server,CWE-89,7 May 2021,Maven,https://github.com/apache/skywalking,23800.0,471.0,663.0,0.0
GHSA-fw5f-7c6c-3vmv,primefaces,CWE-79,7 May 2021,NPM,https://github.com/primefaces/primefaces,1800.0,228.0,714.0,74.0
GHSA-ffhg-7mh4-33c4,golang.org/x/crypto,CWE-347,18 May 2021,Go,https://github.com/golang/crypto,3000.0,260.0,53.0,469.0
GHSA-c57f-4vp2-jqhm,com.vaadin:flow-server,CWE-379,6 May 2021,Maven,https://github.com/vaadin/flow,618.0,193.0,2485.0,112.0
GHSA-9jcx-pr2f-qvq5,github.com/miekg/dns,CWE-400,18 May 2021,Go,https://github.com/miekg/dns,8000.0,232.0,11.0,39895.0
GHSA-7qw8-847f-pggm,github.com/containers/storage,CWE-400,10 May 2021,Go,https://github.com/containers/storage,558.0,1430.0,53.0,1219.0
GHSA-7r83-w6r8-fh6w,com.adobe.acs:acs-aem-commons,CWE-787,13 May 2021,Maven,https://github.com/Adobe-Consulting-Services/acs-aem-commons,453.0,190.0,236.0,5.0
GHSA-77xq-cpvg-7xm2,@tsed/core,CWE-1321,10 May 2021,NPM,https://github.com/tsedio/tsed,2800.0,140.0,11983.0,1512.0
GHSA-733f-44f3-3frw,gopkg.in/macaron.v1,CWE-601,18 May 2021,Go,https://github.com/go-macaron/macaron,3500.0,23.0,13.0,0.0
GHSA-74xm-qj29-cq8p,github.com/pion/webrtc/v3,CWE-863,25 May 2021,Go,https://github.com/pion/webrtc,13500.0,197.0,100.0,123.0
GHSA-4whq-r978-2x68,exiftool-vendored,CWE-74,4 May 2021,NPM,https://github.com/photostructure/exiftool-vendored.js,435.0,12.0,48.0,0.0
GHSA-4f68-49qq-h392,em-imap,CWE-295,24 May 2021,RubyGems,https://github.com/ConradIrwin/em-imap,69.0,5.0,13.0,8.0
GHSA-4gh8-x3vv-phhg,github.com/sylabs/sif,CWE-330,18 May 2021,Go,https://github.com/sylabs/sif,17.0,16.0,22.0,717.0
GHSA-3p3g-vpw6-4w66,github.com/ory/hydra,CWE-294,27 May 2021,Go,https://github.com/ory/hydra,15500.0,282.0,1649.0,0.0
GHSA-3xh2-74w9-5vxm,github.com/gorilla/websocket,CWE-190,18 May 2021,Go,https://github.com/gorilla/websocket,22200.0,84.0,1.0,147374.0
GHSA-3892-2r52-p65m,goliath,CWE-444,24 May 2021,RubyGems,https://github.com/postrank-labs/goliath,2400.0,77.0,35.0,464.0
GHSA-2v6x-frw8-7r7f,github.com/kubernetes/kube-state-metrics,CWE-200,18 May 2021,Go,https://github.com/kubernetes/kube-state-metrics,5400.0,353.0,245.0,0.0
GHSA-wmg4-8cp2-hpg9,matrix-sydent,CWE-20,19 Apr 2021,PyPI,https://github.com/matrix-org/sydent,293.0,41.0,115.0,2.0
GHSA-x823-j7c4-vpc5,sickrage,CWE-79,20 Apr 2021,PyPI,https://github.com/SiCKRAGE/SiCKRAGE,1500.0,195.0,161.0,29.0
GHSA-xrx6-fmxq-rjj2,rsa,CWE-327,30 Apr 2021,PyPI,https://github.com/sybrenstuvel/python-rsa,483.0,39.0,60.0,0.0
GHSA-vgv5-cxvh-vfxh,clickhouse-driver,CWE-120,7 Apr 2021,PyPI,https://github.com/mymarilyn/clickhouse-driver,1200.0,54.0,9.0,2286.0
GHSA-w8h4-vw8f-rvvj,config-shield,CWE-913,13 Apr 2021,NPM,https://github.com/godaddy/node-config-shield,13.0,3.0,2.0,10.0
GHSA-qhx9-7hx7-cp4r,bottle,CWE-444,7 Apr 2021,PyPI,https://github.com/bottlepy/bottle,8400.0,194.0,7.0,31604.0
GHSA-pghf-347x-c2gj,django-debug-toolbar,CWE-89,16 Apr 2021,PyPI,https://github.com/jazzband/django-debug-toolbar,8100.0,268.0,22.0,93762.0
GHSA-hj5v-574p-mj7c,py,CWE-400,20 Apr 2021,PyPI,https://github.com/pytest-dev/py,68.0,53.0,3.0,381338.0
GHSA-gwp7-vqr5-h33h,autobahn,CWE-601,20 Apr 2021,PyPI,https://github.com/crossbario/autobahn-python,2500.0,126.0,46.0,35384.0
GHSA-frpw-jrwx-hcfv,node-red-contrib-huemagic,CWE-22,13 Apr 2021,NPM,https://github.com/Foddy/node-red-contrib-huemagic,201.0,23.0,9.0,61.0
GHSA-9w8r-397f-prfh,Pygments,CWE-835,20 Apr 2021,PyPI,https://github.com/pygments/pygments,1800.0,715.0,6.0,833333.0
GHSA-f248-v4qh-x2r6,blackduck,CWE-295,20 Apr 2021,PyPI,https://github.com/blackducksoftware/hub-rest-api-python,89.0,36.0,18.0,163.0
GHSA-836c-xg97-8p4h,libtaxii,CWE-918,30 Apr 2021,PyPI,https://github.com/TAXIIProject/libtaxii,70.0,28.0,7.0,186.0
GHSA-86hp-cj9j-33vv,ansible,CWE-200,7 Apr 2021,PyPI,https://github.com/ansible-collections/kubernetes,264.0,35.0,6.0,0.0
