DAY,MONTH,YEAR,URL,NPM,MAVEN,PYPI,NUGET,GO,PACKAGIST,RUBYGEMS,CARGO
05, "February", 2017, "http://web.archive.org/web/20170205161242/https://libraries.io/", 415000, 128000, 83200, 79000, 862000, 143000, 130000, 7900
02, "July", 2017, "http://web.archive.org/web/20170702052007/https://libraries.io/", 528000, 102000, 103000, 93100, 821000, 157000, 135000, 10100
05, "January", 2018, "http://web.archive.org/web/20180105012014/https://libraries.io/", 647000, 108000, 118000, 111000, 811000, 187000, 142000, 13100
07, "July", 2018, "http://web.archive.org/web/20180707184938/https://libraries.io/", 785000, 218000, 139000, 119000, 1060000, 220000, 148000, 16700
09, "January", 2019, "http://web.archive.org/web/20190109155548/https://libraries.io/", 941000, 198000, 174000, 145000, 1200000, 253000, 153000, 22600
18, "July", 2019, "http://web.archive.org/web/20190718044310/https://libraries.io/", "1110000, 184000, 203000, 174000, 1550000, 286000, 158000, 29000
14, "January, 2020, "http://web.archive.org/web/20200114071935/https://libraries.io/", 1280000, 185000, 232000, 200000, 1820000, 313000, 162000, 35700
02, "July", 2020, "http://web.archive.org/web/20200702152859/https://libraries.io/", 1440000, 212000, 268000, 229000, 1830000, 341000, 167000, 43800
07, "January", 2021, "http://web.archive.org/web/20210107155629/https://libraries.io/", 1620000, 378000, 311000, 265000, 274000, 365000, 170000, 53500
01, "July", 2021, "http://web.archive.org/web/20210701072651/https://libraries.io/", 1870000, 419000, 374000, 265000, 392000, 318000, 174000, 64600
06, "January", 2022, "http://web.archive.org/web/20220106235359/https://libraries.io/", 2180000, 454000, 418000, 296000, 460000, 344000, 177000, 75200
03, "July", 2022, "http://web.archive.org/web/20220703001344/https://libraries.io/", 2450000, 485000, 458000, 388000, 383000, 370000, 180000, 88200
02, "January", 2023, "http://web.archive.org/web/20230102135400/https://libraries.io/", 2730000, 517000, 508000, 412000, 422000, 400000, 182000, 102000
06, "July", 2023, "http://web.archive.org/web/20230706014635/https://libraries.io/", 3900000, 551000, 459000, 447000, 461000, 389000, 181000, 121000
03, "January", 2024, "http://web.archive.org/web/20240103194428/https://libraries.io/", 4090000, 588000, 501000, 472000, 486000, 407000, 183000, 137000
02, "July", 2024, "https://web.archive.org/web/20240702013048/https://libraries.io/", 4920000, 624000, 556000, 513000, 476000, 424000, 198000, 154000
07, "January", 2025, "https://web.archive.org/web/20250107203602/https://libraries.io/", 4880000, 666000, 601000, 543000, 511000, 442000, 188000, 174000
