ID,Package,CWE,CVE,Date,Disclosed_Date,Platform,Version Range,GitHub URL,Source
SNYK-DOTNET-MAGICKNETCORE-7856102,magick.net.core,CWE-122,CVE-2023-4863,1 Sep 2024,11 Sep 2023,NuGet,"['[,13.3.0)']",https://github.com/dlemstra/Magick.NET,Snyk
SNYK-DOTNET-SERILOGENRICHERSCLIENTINFO-7853254,serilog.enrichers.clientinfo,CWE-348,CVE-2024-44930,30 Aug 2024,29 Aug 2024,NuGet,"['[,2.1.0)']",https://github.com/serilog-contrib/serilog-enrichers-clientinfo,Snyk
SNYK-DOTNET-RESTSHARP-7853196,restsharp,CWE-113,CVE-2024-45302,30 Aug 2024,29 Aug 2024,NuGet,"['[107.0.0-preview.1,112.0.0)']",https://github.com/restsharp/RestSharp,Snyk
SNYK-DOTNET-BOUNCYCASTLE-7831269,bouncycastle,CWE-835,CVE-2024-30172,26 Aug 2024,12 Apr 2024,NuGet,"['[0,]']",,Snyk
SNYK-DOTNET-BOUNCYCASTLE-7831267,bouncycastle,CWE-203,CVE-2024-30171,26 Aug 2024,11 Apr 2024,NuGet,"['[0,]']",,Snyk
SNYK-DOTNET-UMBRACOCMSWEBCOMMON-7723923,umbraco.cms.web.common,CWE-209,CVE-2024-43376,25 Aug 2024,20 Aug 2024,NuGet,"['[14.0.0,14.1.2)']",https://github.com/umbraco/Umbraco-CMS,Snyk
SNYK-DOTNET-MICROSOFTNETCOREAPPRUNTIMEWINX86-7678638,microsoft.netcore.app.runtime.win-x86,CWE-319,CVE-2024-38167,14 Aug 2024,13 Aug 2024,NuGet,"['[8.0.0, 8.0.8)']",https://github.com/dotnet/runtime,Snyk
SNYK-DOTNET-BOOTSTRAPSASS-7640988,bootstrap.sass,CWE-79,CVE-2024-6484,6 Aug 2024,11 Jul 2024,NuGet,"['[,5.0.0-beta1)']",,Snyk
SNYK-DOTNET-BOOTSTRAPSASS-7640984,bootstrap.sass,CWE-79,CVE-2024-6531,6 Aug 2024,11 Jul 2024,NuGet,"['[4.0.0, 5.0.0.beta1)']",,Snyk
SNYK-DOTNET-BOUNCYCASTLECRYPTOGRAPHY-7577211,bouncycastle.cryptography,CWE-770,CVE-2024-29857,1 Aug 2024,11 Apr 2024,NuGet,"['[2.0.0,2.3.1)']",,Snyk
