ID,Vulnerability,Package,Version Range,Platform,Date,score,CWE,CVE,published,disclosed,credit
SNYK-RUST-SURREALDBCORE-7932377,Failure to Sanitize Special Elements into a Different Plane (Special Element Injection),surrealdb-core,['<1.5.2'],Cargo,12 Sep 2024,8.7,CWE-75,,12 Sep 2024,11 Sep 2024,Raphael Darley
SNYK-RUST-SURREALDB-7932376,Failure to Sanitize Special Elements into a Different Plane (Special Element Injection),surrealdb,"['<1.5.5', '>=2.0.0-beta.1 <2.0.0-beta.3']",Cargo,12 Sep 2024,8.7,CWE-75,,12 Sep 2024,11 Sep 2024,Raphael Darley
SNYK-RUST-GIXPATH-7922571,Improper Resolution of Path Configuration,gix-path,['<0.10.11'],Cargo,6 Sep 2024,5.3,CWE-41,CVE-2024-45405,6 Sep 2024,6 Sep 2024,Eliah Kagan
SNYK-RUST-ICCDK-7920568,Missing Release of Memory after Effective Lifetime,ic-cdk,"['>=0.8.0 <0.8.2', '>=0.9.0 <0.9.3', '>=0.10.0 <0.10.1', '>=0.11.0 <0.11.5', '>=0.12.0 <0.12.2', '>=0.13.0 <0.13.4', '>=0.14.0 <0.14.1', '>=0.15.0 <0.15.1']",Cargo,6 Sep 2024,8.7,CWE-401,CVE-2024-7884,6 Sep 2024,5 Sep 2024,Adam Spofford
SNYK-RUST-AARDVARKDNS-7895534,Denial of Service (DoS),aardvark-dns,['<1.12.1'],Cargo,4 Sep 2024,8.7,CWE-400,CVE-2024-8418,4 Sep 2024,4 Sep 2024,Unknown
SNYK-RUST-OLMSYS-7888173,Information Exposure,olm-sys,['*'],Cargo,4 Sep 2024,7.5,CWE-1395,,4 Sep 2024,3 Sep 2024,Unknown
SNYK-RUST-PAGEFIND-7886962,Cross-site Scripting (XSS),pagefind,['<1.1.1'],Cargo,4 Sep 2024,6.1,CWE-79,CVE-2024-45389,4 Sep 2024,3 Sep 2024,"jackfromeast, ishmeals"
SNYK-RUST-QUINNUDP-7857363,Always-Incorrect Control Flow Implementation,quinn-udp,['<0.5.5'],Cargo,3 Sep 2024,8.7,CWE-670,CVE-2024-45311,3 Sep 2024,2 Sep 2024,Finn Bear
SNYK-RUST-QUINN-7857362,Always-Incorrect Control Flow Implementation,quinn,['<0.11.4'],Cargo,3 Sep 2024,8.7,CWE-670,CVE-2024-45311,3 Sep 2024,2 Sep 2024,Finn Bear
SNYK-RUST-QUINNPROTO-7857361,Always-Incorrect Control Flow Implementation,quinn-proto,['>=0.11.0 <0.11.7'],Cargo,3 Sep 2024,8.7,CWE-670,CVE-2024-45311,3 Sep 2024,2 Sep 2024,Finn Bear
SNYK-RUST-GIXPATH-7856143,Exposure of Resource to Wrong Sphere,gix-path,['<0.10.10'],Cargo,2 Sep 2024,1.8,CWE-668,CVE-2024-45305,2 Sep 2024,31 Aug 2024,Eliah Kagan
SNYK-RUST-COSMWASMVM-7842133,Uncontrolled Resource Consumption (\'Resource Exhaustion\'),cosmwasm-vm,"['<1.2.8', '>=1.3.0 <1.3.4', '>=1.4.0 <1.4.2', '>=1.5.0 <1.5.1']",Cargo,28 Aug 2024,6.9,CWE-400,,28 Aug 2024,27 Aug 2024,Unknown
SNYK-RUST-APOLLOROUTER-7840534,Allocation of Resources Without Limits or Throttling,apollo-router,['>=1.7.0 <1.52.1'],Cargo,28 Aug 2024,8.7,CWE-770,CVE-2024-43783,28 Aug 2024,27 Aug 2024,Unknown
SNYK-RUST-APOLLOROUTER-7840417,External Influence of Sphere Definition,apollo-router,['<1.52.1'],Cargo,28 Aug 2024,8.7,CWE-673,CVE-2024-43414,28 Aug 2024,27 Aug 2024,Unknown
SNYK-RUST-DIESEL-7830473,SQL Injection,diesel,['<2.2.3'],Cargo,25 Aug 2024,9.2,CWE-89,,25 Aug 2024,23 Aug 2024,Unknown
SNYK-RUST-GITOXIDE-7814171,Improper Neutralization of Special Elements,gitoxide,['>=0.0.0'],Cargo,23 Aug 2024,2,CWE-150,CVE-2024-43785,23 Aug 2024,22 Aug 2024,Eliah Kagan
SNYK-RUST-GITOXIDECORE-7814170,Improper Neutralization of Special Elements,gitoxide-core,['>=0.0.0'],Cargo,23 Aug 2024,2,CWE-150,CVE-2024-43785,23 Aug 2024,22 Aug 2024,Eliah Kagan
SNYK-RUST-MINISCRIPT-7707874,Uncontrolled Resource Consumption,miniscript,['<12.2.0'],Cargo,19 Aug 2024,8.7,CWE-400,CVE-2024-44073,19 Aug 2024,19 Aug 2024,Unknown
SNYK-RUST-SQLX-7707749,Binary Protocol Misinterpretation caused by Truncating or Overflowing Casts,sqlx,['<0.8.1'],Cargo,18 Aug 2024,7.5,CWE-192,,18 Aug 2024,15 Aug 2024,Unknown
SNYK-RUST-ALLOYJSONABI-7689045,Uncontrolled Resource Consumption (\'Resource Exhaustion\'),alloy-json-abi,['*'],Cargo,16 Aug 2024,6.9,CWE-400,,16 Aug 2024,15 Aug 2024,lcnz
SNYK-RUST-BOAENGINE-7687587,Uncaught Exception,boa_engine,['>=0.16.0 <0.19.0'],Cargo,15 Aug 2024,8.7,CWE-248,CVE-2024-43367,15 Aug 2024,14 Aug 2024,arai-a
SNYK-RUST-RUSSH-7687584,Allocation of Resources Without Limits or Throttling,russh,['<0.44.1'],Cargo,15 Aug 2024,7.1,CWE-770,CVE-2024-43410,15 Aug 2024,14 Aug 2024,Nora
SNYK-RUST-S2NTLS-7675662,Improper Authentication,s2n-tls,['<0.3.0'],Cargo,11 Aug 2024,6.3,CWE-287,,11 Aug 2024,9 Aug 2024,Unknown
SNYK-RUST-COSMWASMVM-7659971,Allocation of Resources Without Limits or Throttling,cosmwasm-vm,"['<1.5.7', '>=2.0.0 <2.0.6', '>=2.1.0 <2.1.3']",Cargo,9 Aug 2024,5.3,CWE-770,,9 Aug 2024,8 Aug 2024,unknownfeature
SNYK-RUST-BISCUITAUTH-7641520,Exposure of Resource to Wrong Sphere,biscuit-auth,['<5.0.0'],Cargo,6 Aug 2024,2.1,CWE-668,CVE-2024-42350,6 Aug 2024,5 Aug 2024,Unknown
SNYK-RUST-BISCUITAUTH-7577223,Improper Privilege Management,biscuit-auth,['>=4.0.0 <5.0.0'],Cargo,1 Aug 2024,7.1,CWE-269,CVE-2024-41949,1 Aug 2024,31 Jul 2024,Unknown
SNYK-RUST-XMPTOOLKIT-7572536,Improper Check for Unusual or Exceptional Conditions,xmp_toolkit,['<1.9.0'],Cargo,28 Jul 2024,5.9,CWE-754,,28 Jul 2024,26 Jul 2024,CeNiEi
SNYK-RUST-STARSHIP-7572535,Improper Neutralization of Special Elements used in a Command (\'Command Injection\'),starship,['>=1.0.0 <1.20.0'],Cargo,28 Jul 2024,2.1,CWE-77,CVE-2024-41815,28 Jul 2024,26 Jul 2024,Evan Leif Battaglia
