ID,Vulnerability,Package,Version Range,Platform,Date,score,CWE,CVE,published,disclosed,credit
SNYK-PHP-MAUTICCORELIB-12549963,Cross-site Scripting (XSS),mautic/core-lib,"['>=5.0.0-alpha, <5.2.8', '>=6.0.0-alpha, <6.0.5']",Composer,8 Sept 2025,4.8,CWE-79,CVE-2025-9823,8 Sept 2025,3 Sept 2025,nmmorette
SNYK-PHP-TIRRENOTIRRENO-12549964,SQL Injection,tirreno/tirreno,['<0.9.6'],Composer,8 Sept 2025,8.7,CWE-89,CVE-2025-55472,8 Sept 2025,2 Sept 2025,Juan Soberanes
SNYK-PHP-APPRAINAPPRAIN-12549275,Cross-site Scripting (XSS),apprain/apprain,['>=0.0.0'],Composer,7 Sept 2025,5.1,CWE-79,CVE-2025-41044,7 Sept 2025,4 Sept 2025,Unknown
SNYK-PHP-APPRAINAPPRAIN-12549274,Cross-site Scripting (XSS),apprain/apprain,['>=0.0.0'],Composer,7 Sept 2025,5.1,CWE-79,CVE-2025-41042,7 Sept 2025,4 Sept 2025,Unknown
SNYK-PHP-APPRAINAPPRAIN-12549273,Cross-site Scripting (XSS),apprain/apprain,['>=0.0.0'],Composer,7 Sept 2025,5.1,CWE-79,CVE-2025-41048,7 Sept 2025,4 Sept 2025,Unknown
SNYK-PHP-APPRAINAPPRAIN-12549272,Cross-site Scripting (XSS),apprain/apprain,['>=0.0.0'],Composer,7 Sept 2025,5.1,CWE-79,CVE-2025-41053,7 Sept 2025,4 Sept 2025,Unknown
SNYK-PHP-APPRAINAPPRAIN-12549271,Cross-site Scripting (XSS),apprain/apprain,['>=0.0.0'],Composer,7 Sept 2025,5.1,CWE-79,CVE-2025-41046,7 Sept 2025,4 Sept 2025,Unknown
SNYK-PHP-APPRAINAPPRAIN-12549270,Cross-site Scripting (XSS),apprain/apprain,['>=0.0.0'],Composer,7 Sept 2025,5.1,CWE-79,CVE-2025-41054,7 Sept 2025,4 Sept 2025,Unknown
SNYK-PHP-APPRAINAPPRAIN-12549269,Cross-site Scripting (XSS),apprain/apprain,['>=0.0.0'],Composer,7 Sept 2025,5.1,CWE-79,CVE-2025-41055,7 Sept 2025,4 Sept 2025,Unknown
SNYK-PHP-APPRAINAPPRAIN-12549268,Cross-site Scripting (XSS),apprain/apprain,['>=0.0.0'],Composer,7 Sept 2025,5.1,CWE-79,CVE-2025-41056,7 Sept 2025,4 Sept 2025,Unknown
