ID,Vulnerability,Package,Version Range,Platform,Date,score,CWE,CVE,published,disclosed,credit
SNYK-DOTNET-MASUITTOOLSABSTRACTIONS-8631673,Arbitrary Code Execution,masuit.tools.abstractions,"['[,2.4.8.6)']",nuget,16 Jan 2025,7.5,CWE-94,CVE-2022-21167,16 Jan 2025,13 Dec 2021,"Keyang Yin, zpbrent(zhou peng@shu)"
SNYK-PHP-SPATIEBROWSERSHOT-8533023,Improper Input Validation,spatie/browsershot,['<5.0.3'],composer,19 Dec 2024,8.7,CWE-20,CVE-2024-21549,19 Dec 2024,16 Dec 2024,Ahmad Shauqi
SNYK-JS-BUN-8499549,Prototype Pollution,bun,['<1.1.30'],npm,16 Dec 2024,7.7,CWE-1321,CVE-2024-21548,16 Dec 2024,12 Dec 2024,Liran Tal - Snyk Research Team
SNYK-PHP-SPATIEBROWSERSHOT-8501858,Directory Traversal,spatie/browsershot,['<5.0.2'],composer,16 Dec 2024,8.7,CWE-22,CVE-2024-21547,16 Dec 2024,13 Dec 2024,Jian Shen Chua
SNYK-PHP-UNISHARPLARAVELFILEMANAGER-7210316,Remote Code Execution (RCE),unisharp/laravel-filemanager,['<2.9.1'],composer,16 Dec 2024,9.3,CWE-94,CVE-2024-21546,16 Dec 2024,5 Jun 2024,V\xc3\xb5 Th\xc3\xa0nh Nam
SNYK-JS-VUEDEVTOOLSAPPLET-8501870,Cross-site Scripting (XSS),@vue/devtools-applet,['>=7.5.0 <7.6.8'],npm,13 Dec 2024,5.3,CWE-79,,13 Dec 2024,12 Dec 2024,Adrien Foulon
SNYK-PHP-SPATIEBROWSERSHOT-8496745,Improper Input Validation,spatie/browsershot,['<5.0.1'],composer,12 Dec 2024,8.7,CWE-20,CVE-2024-21544,12 Dec 2024,11 Dec 2024,Muhammad Firdaus Amran
SNYK-PYTHON-DJOSER-8366540,Authentication Bypass,djoser,"['[,2.3.0)']",pip,12 Dec 2024,7.1,CWE-287,CVE-2024-21543,12 Dec 2024,9 Nov 2024,Diego Cebrian
SNYK-COCOAPODS-PUBNUBSWIFT-8492740,Insufficient Entropy,pubnubswift,['<6.2.0'],cocoapods,10 Dec 2024,5.9,CWE-331,CVE-2023-26154,10 Dec 2024,13 Aug 2023,Varga Daniel
SNYK-PHP-DRUPALPATTERNLABADDATTRIBUTESTWIGEXTENSION-8400879,Cross-site Scripting (XSS),drupal-pattern-lab/add-attributes-twig-extension,['>=0.0.0'],composer,9 Dec 2024,4.6,CWE-79,,9 Dec 2024,4 Nov 2024,Pierre Rudloff
SNYK-PHP-DRUPALPATTERNLABBEMTWIGEXTENSION-8400878,Cross-site Scripting (XSS),drupal-pattern-lab/bem-twig-extension,['>=0.0.0'],composer,9 Dec 2024,1.8,CWE-79,,9 Dec 2024,4 Nov 2024,Pierre Rudloff
SNYK-PHP-DRUPALPATTERNLABUNIFIEDTWIGEXTENSIONS-8400877,Cross-site Scripting (XSS),drupal-pattern-lab/unified-twig-extensions,['>=0.0.0'],composer,9 Dec 2024,4.8,CWE-79,,9 Dec 2024,4 Nov 2024,Pierre Rudloff
SNYK-PHP-PATTERNLABDRUPALTWIGCOMPONENTS-8400872,Cross-site Scripting (XSS),pattern-lab/drupal-twig-components,['>=0.0.0'],composer,9 Dec 2024,1.8,CWE-79,,9 Dec 2024,4 Nov 2024,Pierre Rudloff
