ID,Vulnerability,Package,Version Range,Platform,Date,score,CWE,CVE,published,disclosed,credit
SNYK-JAVA-COMLIFERAYPORTAL-12549187,Server-side Request Forgery (SSRF),com.liferay.portal:com.liferay.portal.impl,"['[,113.1.0)']",Maven,7 Sept 2025,4.8,CWE-918,CVE-2025-43747,7 Sept 2025,21 Aug 2025,Unknown
SNYK-JAVA-COMLIFERAY-12549191,Denial of Service (DoS),com.liferay:com.liferay.portal.workflow.kaleo.forms.web,"['[,5.0.29)']",Maven,7 Sept 2025,7.1,CWE-400,CVE-2025-43772,7 Sept 2025,4 Sept 2025,Unknown
SNYK-JAVA-AIH2O-12485437,Deserialization of Untrusted Data,ai.h2o:h2o-core,"['[0,]']",Maven,5 Sept 2025,9.3,CWE-502,CVE-2025-5662,5 Sept 2025,2 Sept 2025,luckyfloret
SNYK-JAVA-COMVAADIN-12496926,Arbitrary File Upload,com.vaadin:vaadin-upload-flow,"['[2.0.0,14.13.1)', '[23.0.0,23.6.2)', '[24.0.0,24.7.7)']",Maven,5 Sept 2025,5.3,CWE-434,CVE-2025-9467,5 Sept 2025,4 Sept 2025,Unknown
SNYK-JAVA-COMVAADIN-12496925,Arbitrary File Upload,com.vaadin:vaadin-server,"['[7.0.0,7.7.48)', '[8.0.0,8.28.2)']",Maven,5 Sept 2025,5.3,CWE-434,CVE-2025-9467,5 Sept 2025,4 Sept 2025,Unknown
SNYK-JAVA-ORGJENKINSCIPLUGINS-12485199,Missing Authorization,org.jenkins-ci.plugins:global-build-stats,"['[,347.v32a_eb_0493c4f)']",Maven,4 Sept 2025,5.3,CWE-862,CVE-2025-58459,4 Sept 2025,3 Sept 2025,Daniel Beck
SNYK-JAVA-ORGJENKINSCIPLUGINS-12485157,Insertion of Sensitive Information into Externally-Accessible File or Directory,org.jenkins-ci.plugins:git-client,"['[,6.3.3)']",Maven,4 Sept 2025,5.3,CWE-538,CVE-2025-58458,4 Sept 2025,3 Sept 2025,Daniel Beck
SNYK-JAVA-IONETTY-12485152,Improper Handling of Highly Compressed Data (Data Amplification),io.netty:netty-codec-compression,"['[,4.2.5.Final)']",Maven,4 Sept 2025,8.7,CWE-409,CVE-2025-58057,4 Sept 2025,3 Sept 2025,Jonas Konrad
SNYK-JAVA-IONETTY-12485151,Improper Handling of Highly Compressed Data (Data Amplification),io.netty:netty-codec-http2,"['[,4.1.125.Final)']",Maven,4 Sept 2025,8.7,CWE-409,CVE-2025-58057,4 Sept 2025,3 Sept 2025,Jonas Konrad
SNYK-JAVA-IONETTY-12485150,Improper Handling of Highly Compressed Data (Data Amplification),io.netty:netty-codec-http,"['[,4.1.125.Final)']",Maven,4 Sept 2025,8.7,CWE-409,CVE-2025-58057,4 Sept 2025,3 Sept 2025,Jonas Konrad
SNYK-JAVA-IONETTY-12485149,HTTP Request Smuggling,io.netty:netty-codec-http,"['[,4.1.125.Final)', '[4.2.0.Alpha1,4.2.5.Final)']",Maven,4 Sept 2025,8.7,CWE-444,CVE-2025-58056,4 Sept 2025,3 Sept 2025,"Jeppe Bonde Weikop, Jonathan Leitschuh"
SNYK-JAVA-IOUNDERTOW-12458577,Allocation of Resources Without Limits or Throttling (MadeYouReset),io.undertow:undertow-core,"['[0,]']",Maven,3 Sept 2025,8.7,CWE-770,CVE-2025-9784,3 Sept 2025,2 Sept 2025,"Gal Bar Nahum, Anat Bremler-Barr, Yaniv Harel"
SNYK-JAVA-AIH2O-12304059,Deserialization of Untrusted Data,ai.h2o:h2o-core,"['[0,]']",Maven,2 Sept 2025,9.3,CWE-502,CVE-2025-6507,2 Sept 2025,1 Sept 2025,Le1a
