ID,Vulnerability,Package,Version Range,Platform,Date,score,CWE,CVE,published,disclosed,credit
SNYK-DOTNET-FORMCMS-12304082,Stored XSS,formcms,"['[,0.5.7)']",NuGet,2 Sept 2025,5.3,CWE-79,CVE-2025-56236,2 Sept 2025,28 Aug 2025,Kuycheu Kung
SNYK-DOTNET-SIXLABORSIMAGESHARP-11338623,Allocation of Resources Without Limits or Throttling,sixlabors.imagesharp,"['[,2.1.11)', '[3.0.0,3.1.11)']",NuGet,30 Jul 2025,6.9,CWE-835,CVE-2025-54575,30 Jul 2025,30 Jul 2025,whatevicanhaz
SNYK-DOTNET-UMBRACOCMSAPIDELIVERY-11334729,Missing Authorization,umbraco.cms.api.delivery,"['[13.0.0,13.9.3)', '[14.0.0,15.4.4)', '[16.0.0, 16.1.1)']",NuGet,30 Jul 2025,5.3,CWE-862,CVE-2025-54425,30 Jul 2025,29 Jul 2025,Unknown
SNYK-DOTNET-MAGICKNETQ16ANYCPU-10906461,Infinite loop,magick.net-q16-anycpu,"['[,14.7.0)']",NuGet,24 Jul 2025,8.7,CWE-835,CVE-2025-53015,24 Jul 2025,23 Jul 2025,"Shinyoung Won, Woojin Jeon, WooJin Park, Lee DongHa, JungWoo Park, Juwon Chae, JaeHun Gou, Kyusang Han"
SNYK-DOTNET-MAGICKNETQ16HDRIOPENMPARM64-10905692,Infinite loop,magick.net-q16-hdri-openmp-arm64,"['[,14.7.0)']",NuGet,24 Jul 2025,8.7,CWE-835,CVE-2025-53015,24 Jul 2025,23 Jul 2025,"Shinyoung Won, Woojin Jeon, WooJin Park, Lee DongHa, JungWoo Park, Juwon Chae, JaeHun Gou, Kyusang Han"
SNYK-DOTNET-MAGICKNETQ16HDRIOPENMPX64-10905691,Infinite loop,magick.net-q16-hdri-openmp-x64,"['[,14.7.0)']",NuGet,24 Jul 2025,8.7,CWE-835,CVE-2025-53015,24 Jul 2025,23 Jul 2025,"Shinyoung Won, Woojin Jeon, WooJin Park, Lee DongHa, JungWoo Park, Juwon Chae, JaeHun Gou, Kyusang Han"
SNYK-DOTNET-MAGICKNETQ16HDRIARM64-10905690,Infinite loop,magick.net-q16-hdri-arm64,"['[,14.7.0)']",NuGet,24 Jul 2025,8.7,CWE-835,CVE-2025-53015,24 Jul 2025,23 Jul 2025,"Shinyoung Won, Woojin Jeon, WooJin Park, Lee DongHa, JungWoo Park, Juwon Chae, JaeHun Gou, Kyusang Han"
SNYK-DOTNET-MAGICKNETQ16HDRIX86-10905688,Infinite loop,magick.net-q16-hdri-x86,"['[,14.7.0)']",NuGet,24 Jul 2025,8.7,CWE-835,CVE-2025-53015,24 Jul 2025,23 Jul 2025,"Shinyoung Won, Woojin Jeon, WooJin Park, Lee DongHa, JungWoo Park, Juwon Chae, JaeHun Gou, Kyusang Han"
SNYK-DOTNET-MAGICKNETQ16HDRIX64-10905687,Infinite loop,magick.net-q16-hdri-x64,"['[,14.7.0)']",NuGet,24 Jul 2025,8.7,CWE-835,CVE-2025-53015,24 Jul 2025,23 Jul 2025,"Shinyoung Won, Woojin Jeon, WooJin Park, Lee DongHa, JungWoo Park, Juwon Chae, JaeHun Gou, Kyusang Han"
SNYK-DOTNET-MAGICKNETQ16HDRIANYCPU-10905686,Infinite loop,magick.net-q16-hdri-anycpu,"['[,14.7.0)']",NuGet,24 Jul 2025,8.7,CWE-835,CVE-2025-53015,24 Jul 2025,23 Jul 2025,"Shinyoung Won, Woojin Jeon, WooJin Park, Lee DongHa, JungWoo Park, Juwon Chae, JaeHun Gou, Kyusang Han"
