ID,Vulnerability,Package,Version Range,Platform,Date,score,CWE,CVE,published,disclosed,credit
SNYK-PYTHON-SQLITEDICT-8058638,Deserialization of Untrusted Data,sqlitedict,"['[0,]']",pip,19 Sep 2024,5.1,CWE-502,CVE-2024-35515,19 Sep 2024,18 Sep 2024,William Lin
SNYK-PYTHON-MESOP-8057707,Path Traversal,mesop,"['[0.9.0,0.12.4)']",pip,19 Sep 2024,8.7,CWE-22,CVE-2024-45601,19 Sep 2024,18 Sep 2024,Letm3through
SNYK-PYTHON-LANGCHAINEXPERIMENTAL-8056288,Eval Injection,langchain-experimental,"['[0.0.58,]']",pip,19 Sep 2024,6.9,CWE-95,CVE-2024-46946,19 Sep 2024,19 Sep 2024,12end
SNYK-PYTHON-GUARDRAILSAI-8056285,Improper Neutralization of Directives in Dynamically Evaluated Code (\'Eval Injection\'),guardrails-ai,"['[0.2.9,0.5.10)']",pip,19 Sep 2024,8.6,CWE-95,CVE-2024-45858,19 Sep 2024,18 Sep 2024,Leo Ring
SNYK-PYTHON-VLLM-8023208,Uncontrolled Resource Consumption (\'Resource Exhaustion\'),vllm,"['[0,]']",pip,18 Sep 2024,6.9,CWE-400,CVE-2024-8939,18 Sep 2024,17 Sep 2024,Thomas Parnell
SNYK-PYTHON-LANGCHAIN-8023176,Deserialization of Untrusted Data,langchain,"['[,0.2.10)']",pip,18 Sep 2024,4.4,CWE-502,CVE-2024-5998,18 Sep 2024,17 Sep 2024,Panda
SNYK-PYTHON-VLLM-7981556,Improper Validation of Syntactic Correctness of Input,vllm,"['[,0.5.5)']",pip,15 Sep 2024,8.2,CWE-1286,CVE-2024-8768,15 Sep 2024,22 Aug 2024,Unknown
SNYK-PYTHON-COMPOSIOCORE-7981554,Arbitrary File Read,composio-core,"['[0,]']",pip,15 Sep 2024,5.3,CWE-22,CVE-2024-8865,15 Sep 2024,15 Sep 2024,Aftersnows
SNYK-PYTHON-COMPOSIOCORE-7981553,Code Injection,composio-core,"['[0,]']",pip,15 Sep 2024,6.3,CWE-94,CVE-2024-8864,15 Sep 2024,15 Sep 2024,Aftersnows
SNYK-PYTHON-ANSIBLECORE-7981515,Exposure of Sensitive Information in Log Files,ansible-core,"['[0,]']",pip,15 Sep 2024,6.8,CWE-532,CVE-2024-8775,15 Sep 2024,13 Sep 2024,Unknown
