ID,Vulnerability,Package,Version Range,Platform,Date,score,CWE,CVE,published,disclosed,credit
SNYK-RUBY-GOOGLESIGNIN-12301679,Open Redirect,google_sign_in,['<1.3.1'],RubyGems,31 Aug 2025,2.3,CWE-601,CVE-2025-58067,31 Aug 2025,29 Aug 2025,muntrive
SNYK-RUBY-GOOGLESIGNIN-12225346,Open Redirect,google_sign_in,['<1.3.0'],RubyGems,28 Aug 2025,2.3,CWE-601,CVE-2025-57821,28 Aug 2025,27 Aug 2025,Parsa Ghorbani
SNYK-RUBY-BACKDUO-11951435,Malicious Package,back_duo,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-DELTAGO3-11951434,Malicious Package,deltago3,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-DELTAGO-11951433,Malicious Package,deltago,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-SETAGO2-11951432,Malicious Package,setago2,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-SETAGO-11951431,Malicious Package,setago,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-JONGMOGTOLON-11951430,Malicious Package,jongmogtolon,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-CAFEVERILLBAN-11951429,Malicious Package,cafe_verillban,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-CAFEGENERAL-11951428,Malicious Package,cafe_general,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-CAFEPRODUCT-11951427,Malicious Package,cafe_product,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-TBLOGDUO-11951426,Malicious Package,tblog_duo,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-BOARDPOSTINGDUO-11951425,Malicious Package,board_posting_duo,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-DELTAGO4-11951424,Malicious Package,deltago4,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-SETAGO3-11951423,Malicious Package,setago3,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-SOONJE3-11951422,Malicious Package,soonje_3,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-SOONJE22-11951421,Malicious Package,soonje_2_2,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-SOONJE2-11951420,Malicious Package,soonje_2,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-SOONJE1-11951419,Malicious Package,soonje_1,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-ZPREGISTER-11951418,Malicious Package,zpregister,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-ZONCAFECOMMENT-11951417,Malicious Package,zon_cafe_comment,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-ZONBLOGCOMMENT-11951416,Malicious Package,zon_blog_comment,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-ZONBLOGCAFECOMMENT-11951415,Malicious Package,zon_blog_cafe_comment,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-ZONBOARDCRAWLING-11951414,Malicious Package,zon_board_crawling,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-WPPOSTINGZON-11951413,Malicious Package,wp_posting_zon,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-WPPOSTINGDUO-11951412,Malicious Package,wp_posting_duo,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-TIZDPPZ-11951411,Malicious Package,tizdppz,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-TIZDPPD-11951410,Malicious Package,tizdppd,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-TIDPZ-11951409,Malicious Package,tidpz,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-TIDPD-11951408,Malicious Package,tidpd,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-TIUPZ-11951407,Malicious Package,tiupz,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-TIUPD-11951406,Malicious Package,tiupd,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-TGSENDZON-11951405,Malicious Package,tg_send_zon,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-TGSENDDUO-11951404,Malicious Package,tg_send_duo,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-TBLOGZON-11951403,Malicious Package,tblog_zon,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-TBLOGDUOPACK-11951402,Malicious Package,tblog_duopack,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-T64Z-11951401,Malicious Package,t64z,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-T64D-11951400,Malicious Package,t64d,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-T32D-11951399,Malicious Package,t32d,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-PODU33332SS-11951398,Malicious Package,podu33332ss,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-PODU332SS-11951397,Malicious Package,podu332ss,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-POSTINGZON-11951396,Malicious Package,posting_zon,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-POSTINGDUO-11951395,Malicious Package,posting_duo,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-NBLOGZON-11951394,Malicious Package,nblog_zon,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-NBLOGDUO-11951393,Malicious Package,nblog_duo,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-NJONGTOZON-11951392,Malicious Package,njongto_zon,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
SNYK-RUBY-NJONGTODUO-11951391,Malicious Package,njongto_duo,['>=0.0.0'],RubyGems,17 Aug 2025,8.6,CWE-506,,17 Aug 2025,14 Aug 2025,Kirill Boychenko
