ID,Vulnerability,Package,Version Range,Platform,Date,score,CWE,CVE,published,disclosed,credit
SNYK-UNMANAGED-THIAGORALVESOPENPLCV3-8059489,Out-of-bounds Read,thiagoralves/OpenPLC_v3,"['[0,]']",Unmanaged (C/C++),19 Sep 2024,8.7,CWE-125,CVE-2024-36980,19 Sep 2024,18 Sep 2024,Jared Rittle
SNYK-UNMANAGED-THIAGORALVESOPENPLCV3-8059488,Out-of-bounds Read,thiagoralves/OpenPLC_v3,"['[0,]']",Unmanaged (C/C++),19 Sep 2024,8.7,CWE-125,CVE-2024-36981,19 Sep 2024,18 Sep 2024,Jared Rittle
SNYK-UNMANAGED-THIAGORALVESOPENPLCV3-8058817,Stack-based Buffer Overflow,thiagoralves/OpenPLC_v3,"['[0,]']",Unmanaged (C/C++),19 Sep 2024,7.1,CWE-121,CVE-2024-34026,19 Sep 2024,18 Sep 2024,Jared Rittle
SNYK-UNMANAGED-THIAGORALVESOPENPLCV3-8058816,Incorrect Type Conversion or Cast,thiagoralves/OpenPLC_v3,"['[0,]']",Unmanaged (C/C++),19 Sep 2024,8.7,CWE-704,CVE-2024-39589,19 Sep 2024,18 Sep 2024,Jared Rittle
SNYK-UNMANAGED-THIAGORALVESOPENPLCV3-8058815,Incorrect Type Conversion or Cast,thiagoralves/OpenPLC_v3,"['[0,]']",Unmanaged (C/C++),19 Sep 2024,8.7,CWE-704,CVE-2024-39590,19 Sep 2024,18 Sep 2024,Jared Rittle
SNYK-UNMANAGED-LIBREOFFICE-8055233,Improper Digital Signature Invalidation,libreoffice,"['[,24.2.5)', '[25.0.0, 24.8.0)']",Unmanaged (C/C++),19 Sep 2024,7.3,CWE-347,CVE-2024-7788,19 Sep 2024,17 Sep 2024,Yufan You
SNYK-UNMANAGED-CHROMIUM-8055232,User Interface (UI) Misrepresentation of Critical Information,chromium,"['[,129.0.6668.58)']",Unmanaged (C/C++),19 Sep 2024,7.1,CWE-451,CVE-2024-8909,19 Sep 2024,17 Sep 2024,Shaheen Fazim
SNYK-UNMANAGED-MICROPYTHONMICROPYTHON-8039339,Use After Free,micropython/micropython,"['[,1.23.0)']",Unmanaged (C/C++),18 Sep 2024,6.3,CWE-416,CVE-2024-8947,18 Sep 2024,17 Sep 2024,"Wonil Jang, from the research group S2Lab in UNIST"
SNYK-UNMANAGED-ASSIMPASSIMP-8039338,Heap-based Buffer Overflow,assimp/assimp,"['[,5.4.3)']",Unmanaged (C/C++),18 Sep 2024,8.6,CWE-122,CVE-2024-45679,18 Sep 2024,18 Sep 2024,Yuhei Kawakoya of NTT Security Holdings
SNYK-UNMANAGED-MICROPYTHONMICROPYTHON-8032430,Heap-based Buffer Overflow,micropython/micropython,"['[0,]']",Unmanaged (C/C++),18 Sep 2024,6.9,CWE-122,CVE-2024-8948,18 Sep 2024,17 Sep 2024,junwha0511
SNYK-UNMANAGED-MICROPYTHONMICROPYTHON-8032429,Heap-based Buffer Overflow,micropython/micropython,"['[0,]']",Unmanaged (C/C++),18 Sep 2024,6.9,CWE-122,CVE-2024-8946,18 Sep 2024,17 Sep 2024,junwha0511
SNYK-UNMANAGED-ESPRESSIFARDUINOESP32-8032427,Improper Input Validation,espressif/arduino-esp32,"['[,3.0.5)']",Unmanaged (C/C++),18 Sep 2024,6.9,CWE-20,CVE-2024-45798,18 Sep 2024,17 Sep 2024,Alvaro Mu\xc3\xb1oz
SNYK-UNMANAGED-FIREFOX-8032426,Information Exposure,Firefox,"['[,129)']",Unmanaged (C/C++),18 Sep 2024,6.9,CWE-200,CVE-2024-8900,18 Sep 2024,17 Sep 2024,Om Apip
SNYK-UNMANAGED-CHROMIUM-8023223,User Interface (UI) Misrepresentation of Critical Information,chromium,"['[,129.0.6668.58)']",Unmanaged (C/C++),18 Sep 2024,7.1,CWE-451,CVE-2024-8906,18 Sep 2024,17 Sep 2024,@retsew0x01
SNYK-UNMANAGED-V8V8-8023214,Type Confusion,v8/v8,"['[,13.0.198)']",Unmanaged (C/C++),18 Sep 2024,8.7,CWE-843,CVE-2024-8904,18 Sep 2024,17 Sep 2024,Popax21
SNYK-UNMANAGED-CHROMIUM-8023213,Type Confusion,chromium,"['[,129.0.6668.58)']",Unmanaged (C/C++),18 Sep 2024,8.7,CWE-843,CVE-2024-8904,18 Sep 2024,17 Sep 2024,Popax21
SNYK-UNMANAGED-V8V8-8023212,Heap-based Buffer Overflow,v8/v8,"['[,13.0.45)']",Unmanaged (C/C++),18 Sep 2024,8.7,CWE-122,CVE-2024-8905,18 Sep 2024,17 Sep 2024,Ganjiang Zhou
SNYK-UNMANAGED-CHROMIUM-8023211,Heap-based Buffer Overflow,chromium,"['[,129.0.6668.58)']",Unmanaged (C/C++),18 Sep 2024,8.7,CWE-122,CVE-2024-8905,18 Sep 2024,17 Sep 2024,Ganjiang Zhou
SNYK-UNMANAGED-CHROMIUM-8023210,Cross-site Scripting (XSS),chromium,"['[,129.0.6668.58)']",Unmanaged (C/C++),18 Sep 2024,7,CWE-79,CVE-2024-8907,18 Sep 2024,17 Sep 2024,Muhammad Zaid Ghifari
SNYK-UNMANAGED-CHROMIUM-8023209,User Interface (UI) Misrepresentation of Critical Information,chromium,"['[,129.0.6668.58)']",Unmanaged (C/C++),18 Sep 2024,5.3,CWE-451,CVE-2024-8908,18 Sep 2024,17 Sep 2024,Levit Nudi
SNYK-UNMANAGED-FIREFOX-7986124,URL Redirection to Untrusted Site (\'Open Redirect\'),Firefox,"['[,130.0.1)']",Unmanaged (C/C++),17 Sep 2024,8.6,CWE-601,CVE-2024-8897,17 Sep 2024,17 Sep 2024,Thomas Orlita
SNYK-UNMANAGED-ZEPHYRPROJECTRTOSZEPHYR-7981552,Heap-based Buffer Overflow,zephyrproject-rtos/zephyr,"['[,3.7.0-rc2)']",Unmanaged (C/C++),15 Sep 2024,7.1,CWE-122,CVE-2024-6259,15 Sep 2024,13 Sep 2024,ekleezg
SNYK-UNMANAGED-ZEPHYRPROJECTRTOSZEPHYR-7981527,Out-of-bounds Write,zephyrproject-rtos/zephyr,"['[,3.7.0-rc3)']",Unmanaged (C/C++),15 Sep 2024,7.1,CWE-787,CVE-2024-6137,15 Sep 2024,13 Sep 2024,ekleezg
SNYK-UNMANAGED-ZEPHYRPROJECTRTOSZEPHYR-7981526,Stack-based Buffer Overflow,zephyrproject-rtos/zephyr,"['[,3.7.0-rc1)']",Unmanaged (C/C++),15 Sep 2024,7.1,CWE-121,CVE-2024-5931,15 Sep 2024,9 Sep 2024,ekleezg
SNYK-UNMANAGED-ZEPHYRPROJECTRTOSZEPHYR-7981525,Interpretation Conflict,zephyrproject-rtos/zephyr,"['[,3.7.0-rc1)']",Unmanaged (C/C++),15 Sep 2024,7.1,CWE-436,CVE-2024-5754,15 Sep 2024,13 Sep 2024,Johan Stridkvist
