ID,Package,CWE,CVE,Date,Platform,Version Range,GitHub URL,Source
GHSA-5pq7-52mg-hr42,httparty,CWE-472,CVE-2024-22049,3 Jan 2023,RubyGems,"[0,0.21.0)",https://github.com/jnunemaker/httparty,Git
GHSA-5qq4-m6c3-xxmf,serve-lite,CWE-22,CVE-2022-21192,26 Jan 2023,NPM,"[0,1.1.0]",https://github.com/beenotung/serve-lite,Git
GHSA-5v8v-gwmw-qw97,org.neo4j.procedure:apoc,CWE-22,CVE-2022-23532,13 Jan 2023,Maven,"[0,4.3.0.12)[4.4.0.0,4.4.0.12)",,Git
GHSA-5vpv-xmcj-9q85,openmage/magento-lts,CWE-22,CVE-2021-41143,27 Jan 2023,Composer,"[0,19.4.22)[20.0.0,20.0.19)",https://github.com/OpenMage/magento-lts,Git
GHSA-5xhh-6xfv-7q42,org.jenkins-ci.plugins:bearychat,CWE-352,CVE-2023-24458,26 Jan 2023,Maven,"[0,3.0.2]",,Git
GHSA-5xpc-c4xv-7w62,org.jvnet.hudson.plugins:pwauth,CWE-22,CVE-2023-24449,26 Jan 2023,Maven,"[0,0.4]",,Git
GHSA-6325-6g32-7p35,flash_tool,CWE-77,CVE-2013-2513,26 Jan 2023,RubyGems,"[0,0.6.0]",https://github.com/milboj/flash_tool,Git
GHSA-636f-xm5j-pj9m,commonmarker,CWE-400,,24 Jan 2023,RubyGems,"[0,0.23.7)",https://github.com/gjtorikian/commonmarker,Git
GHSA-64wp-jh9p-5cg2,rsshub,CWE-918,CVE-2023-22493,11 Jan 2023,NPM,"[0,1.0.0-master.a66cbcf)",https://github.com/DIYgod/RSSHub,Git
GHSA-64wv-c7jw-jw2q,xataface/xataface,CWE-79,CVE-2021-4303,5 Jan 2023,Composer,"[0,3.0.0)",https://github.com/shannah/xataface,Git
GHSA-65f5-mfpf-vfhj,rack,CWE-1333,CVE-2022-44570,18 Jan 2023,RubyGems,"[1.5.0,2.0.9.2)[2.1.0.0,2.1.4.2)[2.2.0.0,2.2.6.2)[3.0.0.0,3.0.4.1)",https://github.com/rack/rack,Git

